Project_name,URL,stars,Commit Count
Lora-net/LoRaMac-node,https://github.com/Lora-net/LoRaMac-node,1613,1899
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,15422,1905
cesanta/v7,https://github.com/cesanta/v7,1362,1913
tqdm/tqdm,https://github.com/tqdm/tqdm,23474,1940
lxgr-linux/pokete,https://github.com/lxgr-linux/pokete,2529,1958
has2k1/plotnine,https://github.com/has2k1/plotnine,3264,1967
jorisvink/kore,https://github.com/jorisvink/kore,3546,1971
commixproject/commix,https://github.com/commixproject/commix,3560,1994
h2oai/wave,https://github.com/h2oai/wave,3307,2024
bitcoin-core/secp256k1,https://github.com/bitcoin-core/secp256k1,1579,2041
veracrypt/VeraCrypt,https://github.com/veracrypt/VeraCrypt,4491,2043
pbatard/rufus,https://github.com/pbatard/rufus,20915,2054
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,24365,2057
Shougo/deoplete.nvim,https://github.com/Shougo/deoplete.nvim,5853,2058
InfiniTimeOrg/InfiniTime,https://github.com/InfiniTimeOrg/InfiniTime,1887,2061
pydantic/pydantic,https://github.com/pydantic/pydantic,11823,2066
switchbrew/libnx,https://github.com/switchbrew/libnx,1059,2077
sysstat/sysstat,https://github.com/sysstat/sysstat,2404,2088
cyring/CoreFreq,https://github.com/cyring/CoreFreq,1291,2094
sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,37596,2097
scanny/python-pptx,https://github.com/scanny/python-pptx,1642,2107
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,73614,2108
Kozea/Radicale,https://github.com/Kozea/Radicale,2609,2118
mridgers/clink,https://github.com/mridgers/clink,2984,2118
dunst-project/dunst,https://github.com/dunst-project/dunst,3485,2126
nothings/stb,https://github.com/nothings/stb,20492,2149
LIJI32/SameBoy,https://github.com/LIJI32/SameBoy,1151,2173
libtom/libtomcrypt,https://github.com/libtom/libtomcrypt,1311,2174
miniupnp/miniupnp,https://github.com/miniupnp/miniupnp,1203,2183
atomvm/AtomVM,https://github.com/atomvm/AtomVM,1068,2187
redis/redis-py,https://github.com/redis/redis-py,10968,2192
nfc-tools/libnfc,https://github.com/nfc-tools/libnfc,1324,2193
aws/aws-sdk-pandas,https://github.com/aws/aws-sdk-pandas,3237,2199
cobrateam/splinter,https://github.com/cobrateam/splinter,2577,2210
Kaggle/docker-python,https://github.com/Kaggle/docker-python,2050,2210
cmus/cmus,https://github.com/cmus/cmus,4767,2224
cmusphinx/pocketsphinx,https://github.com/cmusphinx/pocketsphinx,3168,2240
zlib-ng/zlib-ng,https://github.com/zlib-ng/zlib-ng,1157,2250
pallets/click,https://github.com/pallets/click,13243,2278
kedro-org/kedro,https://github.com/kedro-org/kedro,7865,2284
belangeo/pyo,https://github.com/belangeo/pyo,1126,2318
aws/aws-sam-cli,https://github.com/aws/aws-sam-cli,6151,2323
floooh/sokol,https://github.com/floooh/sokol,4057,2328
dbcli/pgcli,https://github.com/dbcli/pgcli,10778,2330
boazsegev/facil.io,https://github.com/boazsegev/facil.io,1653,2376
PyCQA/flake8,https://github.com/PyCQA/flake8,2490,2382
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,7694,2395
aws/chalice,https://github.com/aws/chalice,9330,2404
OfflineIMAP/offlineimap,https://github.com/OfflineIMAP/offlineimap,1719,2415
eternnoir/pyTelegramBotAPI,https://github.com/eternnoir/pyTelegramBotAPI,6314,2420
microsoft/msquic,https://github.com/microsoft/msquic,3111,2458
modin-project/modin,https://github.com/modin-project/modin,8112,2481
pika/pika,https://github.com/pika/pika,3092,2494
mupen64plus/mupen64plus-core,https://github.com/mupen64plus/mupen64plus-core,1052,2520
apple/cups,https://github.com/apple/cups,1605,2532
stellargraph/stellargraph,https://github.com/stellargraph/stellargraph,2560,2535
commonmark/cmark,https://github.com/commonmark/cmark,1388,2536
pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,9281,2549
westes/flex,https://github.com/westes/flex,2799,2568
samtools/samtools,https://github.com/samtools/samtools,1286,2575
emweb/wt,https://github.com/emweb/wt,1455,2592
libssh2/libssh2,https://github.com/libssh2/libssh2,1033,2604
sightmachine/SimpleCV,https://github.com/sightmachine/SimpleCV,2581,2625
martanne/vis,https://github.com/martanne/vis,3894,2643
liuliu/ccv,https://github.com/liuliu/ccv,6903,2669
allenai/allennlp,https://github.com/allenai/allennlp,11314,2719
RRZE-HPC/likwid,https://github.com/RRZE-HPC/likwid,1277,2727
pallets/jinja,https://github.com/pallets/jinja,8914,2730
ZerBea/hcxtools,https://github.com/ZerBea/hcxtools,1518,2763
sanic-org/sanic,https://github.com/sanic-org/sanic,16658,2783
jonas/tig,https://github.com/jonas/tig,11344,2789
pyodide/pyodide,https://github.com/pyodide/pyodide,9365,2808
Softmotions/ejdb,https://github.com/Softmotions/ejdb,1347,2819
htop-dev/htop,https://github.com/htop-dev/htop,4315,2826
containers/crun,https://github.com/containers/crun,1921,2846
powerline/powerline,https://github.com/powerline/powerline,13605,2857
python-poetry/poetry,https://github.com/python-poetry/poetry,22808,2900
protocolbuffers/upb,https://github.com/protocolbuffers/upb,1349,2907
Miserlou/Zappa,https://github.com/Miserlou/Zappa,11888,2916
tiangolo/fastapi,https://github.com/tiangolo/fastapi,52187,2917
jopohl/urh,https://github.com/jopohl/urh,8898,2929
LonamiWebs/Telethon,https://github.com/LonamiWebs/Telethon,7181,2945
lz4/lz4,https://github.com/lz4/lz4,7779,2971
phpredis/phpredis,https://github.com/phpredis/phpredis,9527,2974
cloudtools/troposphere,https://github.com/cloudtools/troposphere,4783,2992
microsoft/nni,https://github.com/microsoft/nni,12281,2999
Harvey-OS/harvey,https://github.com/Harvey-OS/harvey,1413,3004
benoitc/gunicorn,https://github.com/benoitc/gunicorn,8658,3020
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,14653,3048
tweepy/tweepy,https://github.com/tweepy/tweepy,9326,3087
dmlc/dgl,https://github.com/dmlc/dgl,10805,3129
libsndfile/libsndfile,https://github.com/libsndfile/libsndfile,1060,3129
aws/sagemaker-python-sdk,https://github.com/aws/sagemaker-python-sdk,1739,3136
sahib/rmlint,https://github.com/sahib/rmlint,1419,3136
ilius/pyglossary,https://github.com/ilius/pyglossary,1722,3156
kkos/oniguruma,https://github.com/kkos/oniguruma,1872,3177
python-gitlab/python-gitlab,https://github.com/python-gitlab/python-gitlab,1923,3226
laramies/theHarvester,https://github.com/laramies/theHarvester,7695,3280
tboox/tbox,https://github.com/tboox/tbox,4195,3292
rocky/python-uncompyle6,https://github.com/rocky/python-uncompyle6,2934,3309
metacall/core,https://github.com/metacall/core,1119,3326
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,14833,3346
tensorlayer/TensorLayer,https://github.com/tensorlayer/TensorLayer,7118,3353
joke2k/faker,https://github.com/joke2k/faker,15127,3356
TinyCC/tinycc,https://github.com/TinyCC/tinycc,1265,3360
lpereira/lwan,https://github.com/lpereira/lwan,5685,3361
zeromq/pyzmq,https://github.com/zeromq/pyzmq,3219,3364
linux-nvme/nvme-cli,https://github.com/linux-nvme/nvme-cli,1069,3385
lc-soft/LCUI,https://github.com/lc-soft/LCUI,3858,3391
mistio/mist-ce,https://github.com/mistio/mist-ce,1697,3427
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,7800,3445
kellyjonbrazil/jc,https://github.com/kellyjonbrazil/jc,5724,3456
mackron/miniaudio,https://github.com/mackron/miniaudio,2538,3487
n1nj4sec/pupy,https://github.com/n1nj4sec/pupy,7354,3488
SublimeLinter/SublimeLinter,https://github.com/SublimeLinter/SublimeLinter,1952,3491
altair-viz/altair,https://github.com/altair-viz/altair,7910,3513
quantumlib/Cirq,https://github.com/quantumlib/Cirq,3602,3523
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,8644,3525
celery/kombu,https://github.com/celery/kombu,2462,3535
microsoft/WinObjC,https://github.com/microsoft/WinObjC,6188,3544
tmux-python/tmuxp,https://github.com/tmux-python/tmuxp,3540,3554
vnmakarov/mir,https://github.com/vnmakarov/mir,1676,3556
hexchat/hexchat,https://github.com/hexchat/hexchat,2775,3567
getsentry/raven-python,https://github.com/getsentry/raven-python,1678,3596
stanfordnlp/stanza,https://github.com/stanfordnlp/stanza,6413,3603
vaexio/vaex,https://github.com/vaexio/vaex,7426,3607
apache/guacamole-server,https://github.com/apache/guacamole-server,2283,3640
kivy/python-for-android,https://github.com/kivy/python-for-android,7219,3691
pyinvoke/invoke,https://github.com/pyinvoke/invoke,3749,3694
pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,3027,3707
acl-dev/acl,https://github.com/acl-dev/acl,2463,3723
bloomberg/comdb2,https://github.com/bloomberg/comdb2,1173,3745
Textualize/rich,https://github.com/Textualize/rich,40953,3783
cea-sec/miasm,https://github.com/cea-sec/miasm,2934,3844
davatorium/rofi,https://github.com/davatorium/rofi,10287,3873
janet-lang/janet,https://github.com/janet-lang/janet,2610,3896
paramiko/paramiko,https://github.com/paramiko/paramiko,8009,3928
andlabs/libui,https://github.com/andlabs/libui,10353,3957
urllib3/urllib3,https://github.com/urllib3/urllib3,3209,3978
ponyorm/pony,https://github.com/ponyorm/pony,3073,3987
OpenShot/openshot-qt,https://github.com/OpenShot/openshot-qt,3046,4004
allinurl/goaccess,https://github.com/allinurl/goaccess,15471,4011
premake/premake-core,https://github.com/premake/premake-core,2577,4026
google/honggfuzz,https://github.com/google/honggfuzz,2665,4068
praw-dev/praw,https://github.com/praw-dev/praw,2954,4077
spotify/luigi,https://github.com/spotify/luigi,16171,4078
MongoEngine/mongoengine,https://github.com/MongoEngine/mongoengine,3905,4081
open5gs/open5gs,https://github.com/open5gs/open5gs,1021,4081
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram,3084,4082
SanderMertens/flecs,https://github.com/SanderMertens/flecs,3369,4107
aubio/aubio,https://github.com/aubio/aubio,2834,4123
robinhood/faust,https://github.com/robinhood/faust,6413,4138
xiph/opus,https://github.com/xiph/opus,1616,4155
jedisct1/libsodium,https://github.com/jedisct1/libsodium,10602,4195
jarun/nnn,https://github.com/jarun/nnn,15303,4244
h5py/h5py,https://github.com/h5py/h5py,1798,4261
coqui-ai/TTS,https://github.com/coqui-ai/TTS,7210,4300
